OBJECTID;id_arc;id_arc_tra;SHAPE.LEN;geo_shape;geo_point_2d
2699;8501.0;5213;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.293778959491104, 48.88707258205342], [2.289620287573431, 48.884473341080195]]}";48.8857729616, 2.29169962353
2703;8508.0;1867;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3081614165093, 48.89196151317402], [2.313604532720213, 48.89429674529245]]}";48.8931291292, 2.31088297461
2704;8509.0;4198;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.308054809582519, 48.892111285286624], [2.303942885049405, 48.89012784441204]]}";48.8911195648, 2.30599884732
2722;8527.0;1635;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.34950974034643, 48.89052467659209], [2.349502300081736, 48.88950916965427]]}";48.8900169231, 2.34950602021
2723;8528.0;1636;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.349655692821492, 48.89052211759078], [2.349660919096274, 48.891519677242336]]}";48.8910208974, 2.34965830596
2725;8530.0;1633;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.349502300081736, 48.88950916965427], [2.349493714777747, 48.88833732130448]]}";48.8889232455, 2.34949800743
2727;8532.0;5943;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.344375508300117, 48.883047158650655], [2.341858682555932, 48.88256259426253]]}";48.8828048765, 2.34311709543
2736;8541.0;6207;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.362484579411883, 48.86896409055605], [2.362914172721737, 48.868464992996365]]}";48.8687145418, 2.36269937607
2750;8555.0;156;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.352115019022464, 48.85875637418748], [2.351898149517297, 48.85833116459301]]}";48.8585437694, 2.35200658427
2752;8557.0;4189;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.333712245845819, 48.86319705141162], [2.332114150143614, 48.863712337262776]]}";48.8634546943, 2.33291319799
2756;8561.0;644;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.356637127794911, 48.853814153500075], [2.354922935342975, 48.854438287333885]]}";48.8541262204, 2.35578003157
2758;8563.0;437;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.361080416062886, 48.85122113670451], [2.361092343894226, 48.85056930385588], [2.361195376268917, 48.85001035958233], [2.361397154400156, 48.84949615708956], [2.362237116491274, 48.84876944009191], [2.362859811897914, 48.84835630167385]]}";48.8496074884, 2.36165179934
2769;8574.0;6125;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.375792445337237, 48.84603605980233], [2.377376336198915, 48.84623093625241]]}";48.846133498, 2.37658439077
2775;8580.0;4682;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.387346142150179, 48.84971760221651], [2.384526705708579, 48.85014459487718]]}";48.8499310985, 2.38593642393
2890;8696.0;1496;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4001325956007102, 48.88068278707662], [2.400111096939467, 48.88095003313041], [2.400255174610242, 48.88120676367825], [2.400481421543736, 48.88139525448639], [2.400640249726104, 48.881586081028104], [2.4007481554378343, 48.88181251038576], [2.4007315630083053, 48.882026663923135], [2.400631340283159, 48.88224882815373], [2.400454602237491, 48.88243629264418], [2.399978157820269, 48.882631529038974], [2.39947278859255, 48.88274000439206], [2.399063764534387, 48.88279696312752]]}";48.8820156163, 2.40018215455
2897;8703.0;1768;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3939551512940023, 48.89545906832388], [2.394085801292855, 48.8952429025968], [2.394241845496271, 48.89491230216875], [2.3943361717821823, 48.89463680069799], [2.394544051005135, 48.89376467743558], [2.394705439011929, 48.89312794568356], [2.3947569420950803, 48.89286464927278]]}";48.8941859071, 2.39442120836
2898;8704.0;1747;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.381459116926862, 48.89894892703033], [2.378861353207509, 48.898906805843616]]}";48.8989278664, 2.38016023507
2900;8706.0;1748;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.378869540869621, 48.89873457206739], [2.381478469059785, 48.898786083868735]]}";48.898760328, 2.38017400496
2905;8711.0;1744;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.374349953303904, 48.89865802679291], [2.3763382986517723, 48.898684540213345]]}";48.8986712835, 2.37534412598
